index,date,domain,IP,DNS
81,2018-01-29 11:01:14.635714+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
82,2018-01-29 12:01:14.769329+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
83,2018-01-29 13:01:14.915594+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
84,2018-01-29 14:01:15.018059+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
85,2018-01-29 15:01:15.087311+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
86,2018-01-29 16:01:15.315966+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
87,2018-01-29 17:01:15.471922+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
88,2018-01-29 18:01:15.594699+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
89,2018-01-29 19:01:15.646765+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
90,2018-01-29 20:01:15.693250+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
91,2018-01-29 21:01:15.805855+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
92,2018-01-29 22:01:15.898350+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
93,2018-01-29 23:01:16.005903+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
94,2018-01-30 00:01:16.135817+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
95,2018-01-30 01:01:16.280787+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
96,2018-01-30 02:01:16.337225+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
97,2018-01-30 03:01:16.587532+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
98,2018-01-30 04:01:16.681926+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
99,2018-01-30 05:01:16.783637+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
100,2018-01-30 06:01:16.917410+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
101,2018-01-30 07:01:16.996722+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
102,2018-01-30 08:01:17.179908+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
